Name, Book, Notes
Orange stir fry, Isa does it,
Irish Stout Stew, Super Fun Times
Arancini, Super Fun Times
Cocos curry, Vegan for Fun
MacDaddy, Vegan with a Vengeance
Pork fried rice, Super Fun Times
Seitan Cabbage Polenta, Veganomicon
Pizza with Pesto, Vegan for Fun
Stone fruit salad, Super Fun Times
Epic Eggplant Lasagna, Super Fun Times
Shiitake-Risotto
Jalapeno-Nocken, Side
"Chickpea Cutlets","Veganomicon","Side, goes well with mashed potatoes"
Pumpkin lasagna
TLT, Vegan with a Vengeance
Spaghetti with bean balls, Veganomicon
Shepherd's pie
Bloody Harry
Lauch-Quiche, Vegan for Fun
Udon-Nudeln, Vegan with a Vengeance
Wraps
Chickpea curry, Vegan with a Vengeance
Auberginen-Erdnuss-Suppe, Veganomicon
Tempeh Reuben, Vegan with a Vengeance
BBQ-Tofu, Vegan with a Vengeance
Kürbissuppe, Vegan einfach
Carbonara, Vegan for Fun
Pan Bagnat, Super Fun Times
Burger: 4th of July, Super Fun Times
Green bean mushroom casserole, Super Fun Times
Bauernfrühstück, Vegan for Fit
Jambalaya, Super Fun Times
Couscous with Zucchini and Champignons, Vegan einfach
Seitan Roast, Super Fun Times
Cannelloni, Vegan for Fun
Classic Pot Pie, Super Fun Times
Miso Udons with Mushrooms
Blumenkohlcrunch, Vegan for Fit
Burger: Coleslaw, Vegan for Fit
Tscholent, Veganomicon
Couscous-Salat (Isa)
Low carb Pizza, Vegan for fit
Quesadillas, Super Fun Times
Rote Linsensuppe, Vegan for Fit
Smoky Incan Stew, Isa does it,
Dilly Stew with Rosemary Dumplings, Isa does it,
Tofu Mushroom Stroganoff, Isa does it,
Carnitas de Mayo, Super Fun Times
Mac and Cheese with Chipotle, Super Fun Times
Cauliflower Buffalo Wings
Chandra Malai Kofta, Isa does it,
Nirvana Enchilada Casserole, Isa does it,
Philly Cheesesteak casserole, Super Fun Times
Tater Tot Kugel, Super Fun Times, Side
Spinach Noodle Kugel, Veganomicon
Pad Thai, Vegan Food Porn,
Süßkartoffel-Gnocchi, Vegan Food Porn, Side
Mac and cheese, Vegan Food Porn,
Ramen-Suppe, Vegan Food Porn,
Warm artichoke dip, Super Fun Times, needs bread
Runzas, Super Fun Times,
Cauliflower tikka masala, Super Fun Times,
Creamy Whipped Potatoes, Super Fun Times, Side
Shepherd's pie with sweet potato whipped cream, Super Fun Times,
Sweet potato chickpea curry, Vegan Food Porn,
Chinese Pancakes, Vegan Foodporn,
So Veggie Pastitsio, Super Fun Times
