Name, Book, Notes
Devilish Potatoes, Super Fun Times,
Creamy Whipped Potatoes, Super Fun Times,
Tater Tot Kugel, Super Fun Times,
Süßkartoffel-Gnocchi, Vegan Foodporn,
Zupfbrot mit Bärlauch, Vegan Paradise,
Hua Juan - chinesische Dampfbrötchen mit Frühlingszwiebeln, Vegan Paradise,
Potato-Edamame Samosas, Vegan with a Vengeance,
Mashed Potatoes with Punk Rock Chickpea Gravy, Vegan with a Vengeance,
Chinesische Pfannkuchen mit Frühlingszwiebeln, Vegan Foodporn,
Kartoffelgratin, Vegan Foodporn
Scalloped Potatoes, Super Fun Times,
Potato Cakes, Vegan Foodporn,
Cremige Polenta, Vegan Foodporn,
Cold Sesame Noodle Bundles, Super Fun Times,
Seared Dragon Green Beans with Almonds, Super Fun Times,
Eggy Potato Salad, Super Fun Times,
Green Bean Casserole, Super Fun Times,
Frühlingsrollen mit Tofu, Gemüse und Pilzen, Vegan einfach,"Quite messy, but worth it"
