Game,Reason for giving it away,Recommendation?,Notes,AppId
Quest Hunter (Steam),Already owned,Yes,,487000
Alien Spidy,,,,207000
Broken Age,Already owned,,,232790
Brothers: A Tale of Two Sons,Already owned,,,225080
Brutal Legend,Already owned,"Yes, but the multiplayer achievements are grindy",,225260
Darksiders Warmastered Edition,,,,462780
Jackbox Party Pack 2,,,,397460
Magicka,Already owned,,,42910
PAC-MAN™  CHAMPIONSHIP EDITION 2,,,,441380
Psychonauts,Already owned,Yes,,3830
Speed Brawl,,,,468670
Super Hexagon,,,,221640
Tilt Brush,,,,327140
Tropico 4,,,,57690
VVVVVV,,,,70300
Duck Game,,,,312530
Euro Truck Simulator 2: Australia Paint Pack DLC,,,,558242
Frog Detective,,,,963000
Masquerade: The Baubles of Doom,,,,299380
Regular Human Basketball,,,,661940
Think of the Children,,,,573600
Tower of Guns,,,,266110
Void Bastards,,,,857980
A Glider's Journey,,,,1102500
Adventure Boy Cheapskate DX,,,,984510
Animal Super Squad,,,,703840
Anomaly 2,,,,236730
Anomaly Defenders,,,,294750
Anomaly Korea,,,,251530
Anomaly: Warzone Earth,,,,91200
Anomaly Warzone Earth Mobile Campaign,,,,252170
Artemis: God-Queen of The Hunt,,,,1081850
Balancelot,,,,1035850
Battlevoid: Harbinger,,,,396480
Border Force,,,,1011630
Clatter,,,,602770
Colt Express,,,,534360
Company of Heroes,,,,228200
Crusader Kings II: Dynasty Starter Pack,,,,
Dead by Daylight - Curtain Call,,,,
Dead by Daylight - Of Flesh and Mud,,,,
Dead by Daylight - Spark of Madness,,,,
Deadlight: Director's Cut,,,,423950
Downtown Drift,,,,1077340
Draw Your Game,,,,677880
Dreadlands,,,,1054690
Drink More Glurp Jingle Jam Challenge,,,,
HERO DEFENSE,,,,423620
Invisible Inc.,Already owned,,,243970
Kalaban,,,,571520
MetaMorph: Dungeon Creatures,,,,606870
Motorsport Manager,,,,415200
Must Dash Amigos,,,,1049820
Nemo Dungeon,,,,356820
Ninja Senki DX,,,,405540
PAC-MAN™ CHAMPIONSHIP EDITION 2,,,,441380
Partial Control,,,,1001230
Potatoman Seeks the Troof,,,,328500
Pumped BMX +,,,,392070
Rebound Dodgeball Evolved,,,,1057560
Red Horizon,,,,1106790
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,,,,35450
Rogue Rocks,,,,1126440
SkyScrappers,,,,403460
Songs of Skydale,,,,1062480
Super Chicken Catchers,,,,869750
Throne of Lies® The Online Game of Deceit,,,,595280
The Window Box,,,,950850
YORG.io,,,,880580
Regular Human Basketball,,,,661940
SOULCALIBUR VI,,,,544750
Yakuza Kiwami,,,,834530
Call of Duty®: WWII,,,,476600
Avernum 3: Ruined World,,,,691830
BATTLETECH - Flashpoint,,,,911930
BATTLETECH - Shadow Hawk Pack,,,,799751
Override: Mech City Brawl,,,,709440
Planet Alpha,,,,485030
PUSS!,,,,719750
MOTHERGUNSHIP,,,,574090
Squad,,,,393380
Almost There: The Platformer,,,,951940
Rising Storm 2: Vietnam + 2 DLCs,,,,418460
Swords and Soldiers 2 Shawarmageddon,,,,703880
60 Parsecs!,,,,646270
NAIRI: Tower of Shirin,,,,802450
Road Redemption,,,,300380
911 Operator,,,,503560
911 Operator - Special Resources DLC,,,,580730
Paratopic,,,,897030
Pool Panic,,,,522240
Red Faction Guerrilla Re-Mars-tered,,,,667720
I'm not a Monster,,,,826600
The Journey Down: Chapter Three,,,,579760
Mutant Year Zero: Road to Eden,,,,760060
She Remembered Caterpillars,Already owned,,,470780
